"","sample","fit_r2","ox_initial","t_initial","dmax","tmax_h","se","auc","hauc","width","t1_h","t2_h","hwidth"
"292","191001_124_A4",0.9861,378.462608442586,12.4246666666667,3.86505306354138,22.2121666666667,0.0563964336081794,30.9752851212701,30.9752851212701,6.0855,18.5611666666667,24.6466666666667,2.4345
"293","191001_124_B4",0.9915,378.46137240225,12.4246666666667,8.23681718614694,25.3058333333333,0.78737793193624,42.2421281882499,42.2421281882499,3.55,21.7558333333333,25.3058333333333,3.55
"294","191001_124_C4",0.9924,378.459940651279,12.4246666666667,9.63333314228521,21.2995,0.073311100707631,46.9340270432136,46.9340270432136,4.4625,18.7133333333333,23.1758333333333,1.87633333333333
"295","191001_124_D4",0.9878,378.458278508176,12.4246666666667,3.60782974597214,21.2995,0.0469938731825179,38.6606289547743,38.6606289547743,2.84,21.2995,24.1395,2.84
"296","191001_124_A5",0.9968,378.456385497922,12.4246666666667,10.6679253477296,21.1471666666667,0.0466921681843585,56.3134051821706,56.3134051821706,4.26,18.6116666666667,22.8716666666667,1.7245
"297","191001_124_B5",0.9837,378.454233342741,12.4246666666667,6.97341242955076,22.8208333333333,0.0526572408505299,38.1094184517901,38.1094184517901,4.46266666666667,20.2853333333333,24.748,1.92716666666667
"298","191001_124_C5",0.9993,378.451812004597,12.4246666666667,26.574252264536,17.5975,0.0746703225901955,135.690010428291,135.690010428291,3.9555,15.772,19.7275,1.8255
"299","191001_124_D5",0.9912,378.449124326014,12.4246666666667,7.61429002211912,23.7336666666667,0.0894517778047573,44.414452025501,44.414452025501,2.68783333333333,21.0458333333333,23.7336666666667,2.68783333333333
"300","191001_124_A6",0.9577,378.446119045592,12.4246666666667,3.18371776441381,15.0111666666667,0.0593090695493459,23.6807794087917,23.6807794087917,2.8905,15.0111666666667,17.9016666666667,2.8905
"301","191001_124_B6",0,378.442819934173,12.4246666666667,0,12.4246666666667,2.59081274928931e-09,0,0,0,12.4246666666667,12.4246666666667,0
"302","191001_124_C6",0,378.439167658636,12.4246666666667,1.70530256582424e-12,14.2505,2.68692663282284e-09,6.05382410867612e-13,6.05382410867612e-13,0.1015,14.1996666666667,14.3011666666667,0.0508333333333315
"303","191001_124_D6",0,378.435180775858,12.4246666666667,0,12.4246666666667,3.19418136810107e-09,0,0,0,12.4246666666667,12.4246666666667,0
"304","191001_510_A1",0,247.793575949367,10.802,1.70530256582424e-12,12.8305,2.44345635960434e-09,6.05382410867606e-13,6.05382410867606e-13,0.101500000000001,12.7796666666667,12.8811666666667,0.0508333333333351
"305","191001_510_B1",0,247.793575949367,10.802,1.70530256582424e-12,12.8305,2.59281196135685e-09,6.05382410867606e-13,6.05382410867606e-13,0.101500000000001,12.7796666666667,12.8811666666667,0.0508333333333351
"306","191001_510_C1",0,247.793575949367,10.802,1.70530256582424e-12,12.8305,2.26597519971681e-09,6.05382410867606e-13,6.05382410867606e-13,0.101500000000001,12.7796666666667,12.8811666666667,0.0508333333333351
