"","Sample_ID","Survey","dmax","tmax","tmax_h","auc","hauc","width","hwidth","ox_initial","incub_date"
"37","12955","100_lakes",7.54551768715545,12.55075,22.857375,23.9207073944645,11.6370603833986,3.90466666666667,1.90158333333334,260.465850515464,"191105"
"38","12956","100_lakes",2.36193255445968,9.736,19.726,6.95167145637319,3.42115857433245,3.702,1.8255,264.221640625,"191105"
"39","12957","100_lakes",1.29721797758185,9.9391666666666,20.16975,4.20563500675862,2.05401996749901,4.05708333333333,1.92716666666666,260.465850515464,"191105"
"40","12964","100_lakes",2.53163549405795,8.5949166666667,19.1174166666666,11.6396870770552,4.96727314257654,5.83183333333334,2.43408333333333,264.221640625,"191105"
"41","12999","100_lakes",3.05658506072925,15.0355833333333,22.31325,18.3719293931433,7.58777342203706,7.40375,2.68766666666667,152.236575828836,"191011"
"42","13000","100_lakes",1.33626016494249,13.9960833333333,19.0170833333333,10.2604077442492,3.54485648812783,9.60958333333333,3.01733333333333,152.236575531286,"191011"
"43","13008","100_lakes",2.34429487023066,14.706,21.5398333333333,12.7891115727592,5.80975863300245,6.84591666666666,3.09333333333334,152.236575228554,"191011"
"44","13018","100_lakes",3.99309704794892,10.50025,16.6645833333333,25.0764290229793,11.419701976902,8.95216666666668,4.10833333333333,239.867991737456,"191009"
"45","13037","100_lakes",2.88808329621364,11.6669166666666,18.7188333333333,17.5464712896486,7.58701215536323,6.61916666666666,2.89125,239.867991767831,"191009"
"46","13039","100_lakes",4.17843265273721,10.2211666666666,16.842125,24.5010809362561,9.96527948037141,7.53225,2.891,239.867991727069,"191009"
"47","13051","100_lakes",1.2364481600257,15.568,23.1625833333333,13.9997438962229,3.4037001527399,13.641,3.44833333333334,152.236574918376,"191011"
"48","13079","100_lakes",2.9859456794561,14.7560833333334,24.4670833333333,5.46736536174784,5.46736536174784,3.06791666666667,2.00308333333334,285.310159574468,"191027"
"49","13089","100_lakes",1.7325833074825,15.1364166666666,25.1263333333333,6.81595808514307,3.09920388228706,4.61433333333333,2.05358333333334,370.690437017995,"191027"
"50","13094","100_lakes",20.2266291457876,14.4011666666667,24.7966666666667,90.5602029733844,36.2227500276886,5.6285,2.12966666666667,285.310159574468,"191027"
"51","13109","100_lakes",1.28694388858276,13.5391666666667,22.033125,3.60714982318144,2.31528507329481,3.3975,1.95208333333334,285.310159574468,"191027"
"52","13130","100_lakes",1.36523206154885,14.98425,26.013625,4.05351393034438,1.97942310385756,3.65091666666667,1.77483333333333,285.310159574468,"191027"
"53","13131","100_lakes",1.85543940778119,15.3393333333333,24.999625,5.82017975861208,2.8175370585672,3.95516666666667,1.90158333333334,370.690437017995,"191027"
"54","13138","100_lakes",0.45547415401563,7.0991666666667,18.7877916666666,1.40176922646186,0.864548335504845,1.44516666666666,1.141,285.310159574468,"191027"
"55","13154","100_lakes",1.85728777350908,15.5928333333333,25.91225,6.20454608976396,2.98295085346507,4.38616666666667,2.003,370.690437017995,"191027"
"56","13156","100_lakes",47.3280228892147,18.9145,19.3967916666667,242.313072459242,114.468611615773,6.21166666666667,2.91575,312.520684562353,"191029"
"57","13157","100_lakes",19.1426322676984,14.88325,15.6571666666667,93.830529027664,45.2339238270643,6.009,2.86508333333333,312.520710843056,"191029"
"58","13163","100_lakes",1.62099976583761,15.7703333333333,26.5081666666667,5.11819253787062,3.07649067001811,3.65083333333334,2.12983333333334,370.690437017995,"191027"
"59","13196","100_lakes",44.5707217759177,19.878,20.9434166666667,287.149595402677,126.565398915961,8.01183333333334,3.44816666666667,312.520788703006,"191029"
"60","13437","100_lakes",1.76341197573669,0,10.3325416666667,21.8886285844372,21.8886285844372,15.3139166666666,15.3139166666666,213.56213963964,"191107"
"61","13439","100_lakes",2.52070672148115,9.53325,16.962625,15.069794060484,6.77119770475039,7.25141666666667,3.2455,213.56213963964,"191107"
"62","13440","100_lakes",0.780601324243961,7.07366666666665,14.5158333333333,10.719634596253,3.08922388194422,16.80975,4.8425,213.56213963964,"191107"
"63","13443","100_lakes",1.39656053629219,17.82425,21.2983333333333,15.5629365392366,8.49572360705085,15.5168333333333,9.02616666666666,213.56213963964,"191107"
"64","13445","100_lakes",1.23716601845153,20.5366666666667,27.89025,14.6161739498295,14.6161739498295,17.6210833333333,17.6210833333333,279.65833332952,"191107"
"65","13449","100_lakes",16.9409399573946,13.5901666666667,22.4015,96.3704500178934,41.7845894736997,7.27683333333333,2.96658333333334,284.841294964029,"191108"
"66","13453","100_lakes",1.03114265319295,19.8529166666667,24.7722083333333,2.0785084635223,1.85592690384272,2.15525,2.15525,267.662207034192,"191108"
"67","13458","100_lakes",5.68138336319809,14.2749166666666,22.756625,29.0153547486251,13.5828081103387,6.16125,2.86508333333333,267.662207029445,"191108"
"68","13459","100_lakes",4.64741793874531,12.9818333333333,21.33675,21.7543523848291,9.4280558916502,5.98375,2.35791666666667,284.841294964029,"191108"
"69","13469","100_lakes",1.21394312223483,8.59533333333331,16.7474583333334,11.6082862115433,3.88821838475631,11.9674166666667,4.05683333333334,267.662207031854,"191108"
"70","13470","100_lakes",0.827444300715601,19.3964166666666,24.683375,1.90789970288734,1.70342487907741,2.66216666666667,2.58608333333334,284.841294964029,"191108"
"71","13471","100_lakes",1.26169087630026,4.96949999999998,13.70475,12.9982876195218,4.11448628838269,12.6269166666667,3.80325,284.841294964029,"191108"
"72","13617","100_lakes",1.36918454441804,19.5233333333333,28.38525,2.38665169462885,2.38665169462885,2.10458333333334,2.10458333333334,284.841294964029,"191108"
"73","13763","100_lakes",6.23004243424614,11.2821666666667,18.255125,31.287025382407,13.4189649180271,5.80575,2.58616666666666,238.646478835693,"191202"
