"","set","sample","fit_r2","ox_initial","t_initial","dmax","tmax_h","se","auc","hauc","width","t1_h","t2_h","hwidth","line","Sample_ID","Survey","tmax"
"586","191011_512_5","191011_512_A5",0.991149612976891,353.69994093204,6.84666666666667,3.16944997534965,20.8428333333333,0.0490440538780317,18.120446195727,7.31785921097195,7.15033333333334,16.4813333333333,23.6316666666667,2.78883333333334,"5",11559,"1000_lakes",13.9961666666666
"587","191011_512_5","191011_512_B5",0.990675856759344,353.69993628097,6.84666666666667,3.83535321067667,21.3496666666667,0.054797643345291,16.8772509281792,7.53729285497619,5.5275,18.2055,23.733,2.38333333333333,"5",11559,"1000_lakes",14.503
"588","191011_512_5","191011_512_D5",0.984730154594511,353.69992689751,6.84666666666667,2.92891036838488,20.9946666666667,0.0629687395430592,16.6017242773821,6.49201685058526,7.20083333333334,16.4813333333333,23.6821666666667,2.6875,"5",11559,"1000_lakes",14.148
"589","191011_512_6","191011_512_D6",0.967554534053256,353.699907969968,6.84666666666667,2.09105634827238,23.6316666666667,0.0578181249375778,14.1348483224822,5.43633022790259,8.36716666666667,18.4086666666667,26.7758333333333,3.14416666666666,"6",12307,"1000_lakes",16.785
"590","191011_512_6","191011_512_B6",0.983363411335133,353.699917472643,6.84666666666667,2.6503041199716,21.6033333333333,0.0772739300168105,12.5298381907384,5.75469518278485,5.98366666666667,18.3071666666667,24.2908333333333,2.6875,"6",12307,"1000_lakes",14.7566666666666
"591","191011_512_6","191011_512_C6",0.990265196029381,353.699912747019,6.84666666666667,4.31500475217045,21.9075,0.0818800446390845,19.8383928728383,9.57134676395292,5.73033333333333,19.1691666666667,24.8995,2.73833333333333,"6",12307,"1000_lakes",15.0608333333333
"592","191011_512_6","191011_512_A6",0.978354799208304,353.699922209944,6.84666666666667,2.54727855639742,21.857,0.0790845748469663,12.9376393723221,6.36821322915459,6.38933333333334,18.7128333333333,25.1021666666667,3.14416666666667,"6",12307,"1000_lakes",15.0103333333333
"593","191013_124_2","191013_124_C2",0.985222357407184,273.613028213675,6.28866666666667,2.57225942697156,21.0463333333333,0.0544665348233309,12.5341099781453,5.37879577641232,6.18666666666667,17.3953333333333,23.582,2.53566666666667,"2",12173,"1000_lakes",14.7576666666666
"594","191013_124_2","191013_124_B2",0.986883122638925,273.613028213678,6.28866666666667,2.57584604006115,21.1986666666667,0.0596013720218684,11.7836108640493,5.27392964899682,5.73033333333333,17.953,23.6833333333333,2.48466666666667,"2",12173,"1000_lakes",14.91
"595","191013_124_2","191013_124_A2",0.977724974227376,273.613028213681,6.28866666666667,2.230999177117,21.5536666666667,0.0631818510471768,10.2366223854697,5.07500983688198,5.73033333333333,18.663,24.3933333333333,2.83966666666666,"2",12173,"1000_lakes",15.265
"596","191013_124_2","191013_124_D2",0.975471494520742,273.613028213672,6.28866666666667,2.40128927614081,20.5395,0.0474474287999589,13.3000203560589,5.73403039426052,6.79516666666667,16.6345,23.4296666666667,2.89016666666667,"2",12173,"1000_lakes",14.2508333333333
"597","191013_124_3","191013_124_D3",0.972618642496261,273.613028213661,6.28866666666667,2.76401466476918,23.6833333333333,0.0744322342492934,19.9175239252811,6.98741934855023,8.9755,17.7503333333333,26.7258333333333,3.0425,"3",11773,"1000_lakes",17.3946666666666
"598","191013_124_3","191013_124_A3",0.951604938233154,273.61302821367,6.28866666666667,3.04366098993638,21.9086666666667,0.112315494938527,19.0157276962824,9.16802679703122,7.75833333333333,18.1561666666667,25.9145,3.7525,"3",11773,"1000_lakes",15.62
"599","191013_124_3","191013_124_B3",0.993544119282465,273.613028213667,6.28866666666667,3.55245631988985,21.4521666666667,0.0666584633466009,17.6084190241152,8.28830963801048,6.288,18.0545,24.3425,2.89033333333333,"3",11773,"1000_lakes",15.1635
"600","191013_124_3","191013_124_C3",0.98179597359097,273.613028213664,6.28866666666667,2.88908048200351,23.3791666666667,0.0491690643003231,19.402263559996,7.8790574326809,8.21466666666667,18.4603333333333,26.675,3.29583333333333,"3",11773,"1000_lakes",17.0905
"601","191013_124_4","191013_124_D4",0.987277901861617,273.61302821365,6.28866666666667,1.44310792331984,11.6645,0.0332878715968953,14.6891092349031,2.84438109318218,13.1858333333333,9.2805,22.4663333333333,2.384,"4",12558,"1000_lakes",5.37583333333333
"602","191013_124_4","191013_124_C4",0.991084427054271,273.613028213653,6.28866666666667,1.93050306734845,18.1561666666667,0.0558348485946204,11.9732299777377,5.74885944087622,8.06333333333333,13.8958333333333,21.9591666666667,3.803,"4",12558,"1000_lakes",11.8675
"603","191013_124_4","191013_124_A4",0.965052679002885,273.613028213659,6.28866666666667,1.36370113710547,17.4966666666667,0.0711401868328708,10.7996292794031,4.97304518473464,10.1425,13.0338333333333,23.1763333333333,4.46283333333333,"4",12558,"1000_lakes",11.208
"604","191013_124_4","191013_124_B4",0.984763779957312,273.613028213656,6.28866666666667,1.63542011690189,16.178,0.0336430419338674,11.9526508786161,5.31853706514482,8.9765,12.2221666666667,21.1986666666667,3.95583333333333,"4",12558,"1000_lakes",9.88933333333333
"605","191013_124_5","191013_124_A5",0.978815534443726,273.613028213648,6.28866666666667,1.80335188018034,20.945,0.0729687772383428,15.7149549193235,6.52585028728196,10.9536666666667,14.4538333333333,25.4075,4.4625,"5",11816,"1000_lakes",14.6563333333333
"606","191013_124_5","191013_124_C5",0.980524669674244,273.613028213642,6.28866666666667,1.65452061718598,21.655,0.0727697102218974,16.9009637959781,6.73772906776184,12.323,14.0986666666667,26.4216666666667,4.76666666666667,"5",11816,"1000_lakes",15.3663333333333
"607","191013_124_5","191013_124_B5",0.991675706210033,273.613028213645,6.28866666666667,2.11551386584001,21.5536666666667,0.0659608716875457,23.5580837730823,8.00127059661986,14.605,11.5121666666667,26.1171666666667,4.5635,"5",11816,"1000_lakes",15.265
"608","191013_124_5","191013_124_D5",0.98629204890625,273.613028213639,6.28866666666667,1.91315445306911,20.1845,0.0436839569727552,18.2795917411127,7.96196696079505,11.207,15.1638333333333,26.3708333333333,5.02066666666667,"5",11816,"1000_lakes",13.8958333333333
"609","191013_124_6","191013_124_D6",0.968088089929505,273.613028213628,6.28866666666667,2.597288704666,21.8578333333333,0.0832786789560587,14.2005569118092,6.57956149613536,6.84566666666667,18.7138333333333,25.5595,3.144,"6",11959,"1000_lakes",15.5691666666666
"610","191013_124_6","191013_124_B6",0.998338934756214,273.613028213633,6.28866666666667,3.51924793250675,21.1986666666667,0.0457776368866267,29.689445704445,8.78800025544268,12.2725,12.0195,24.292,3.09333333333333,"6",11959,"1000_lakes",14.91
"611","191013_124_6","191013_124_C6",0.963590561105121,273.61302821363,6.28866666666667,2.36835110740442,23.1255,0.045123661604577,14.1740740935971,6.79645751929408,7.20066666666667,19.373,26.5736666666667,3.44816666666667,"6",11959,"1000_lakes",16.8368333333333
"612","191013_124_6","191013_124_A6",0.970685845433144,273.613028213636,6.28866666666667,2.25691796490124,22.365,0.0573758659900665,12.6896463422372,5.76669674671134,6.89633333333333,19.2716666666667,26.168,3.09333333333334,"6",11959,"1000_lakes",16.0763333333333
"613","191013_510_2","191013_510_B2",0.987698531820231,272.350870488323,6.13633333333333,2.77973130123412,23.6325,0.0450584980622043,17.1388431161564,7.13265955086258,7.5555,19.1703333333333,26.7258333333333,3.09333333333333,"2",11852,"1000_lakes",17.4961666666667
"614","191013_510_2","191013_510_C2",0.990071922212695,272.350870488323,6.13633333333333,2.95662591684312,23.8861666666667,0.0510653443693775,17.9165630792167,7.10430692428405,7.5555,19.2208333333333,26.7763333333333,2.89016666666667,"2",11852,"1000_lakes",17.7498333333334
"615","191013_510_2","191013_510_D2",0.988421632356893,272.350870488323,6.13633333333333,2.44303784259728,23.937,0.0948896437287702,17.0646427824356,6.5194950074039,8.82333333333333,18.3588333333333,27.1821666666667,3.24516666666667,"2",11852,"1000_lakes",17.8006666666667
"616","191013_510_2","191013_510_A2",0.985059079746538,272.350870488323,6.13633333333333,2.68372961225942,24.292,0.0583851499593812,13.5779885754194,5.76291134538469,6.38933333333333,20.4886666666667,26.878,2.586,"2",11852,"1000_lakes",18.1556666666667
"617","191013_510_3","191013_510_C3",0.993909193817971,272.350870488323,6.13633333333333,1.63052772129837,12.0195,0.0371315514212914,21.2267225367181,4.02858986726687,17.0396666666667,9.027,26.0666666666667,2.9925,"3",12582,"1000_lakes",5.88316666666667
"618","191013_510_3","191013_510_B3",0.993822263015603,272.350870488323,6.13633333333333,1.69620686908897,11.5121666666667,0.0415068983608223,19.9518446676746,4.09971001994376,17.2421666666667,8.52,25.7621666666667,2.99216666666667,"3",12582,"1000_lakes",5.37583333333337
"619","191013_510_3","191013_510_A3",0.994950617908725,272.350870488323,6.13633333333333,1.74539780532079,11.208,0.0410834821640021,21.1377678356613,4.86497667575921,17.7493333333333,7.70866666666667,25.458,3.49933333333333,"3",12582,"1000_lakes",5.07166666666667
"620","191013_510_3","191013_510_D3",0.994003040939076,272.350870488323,6.13633333333333,1.69816144622332,11.5121666666667,0.0425834024154647,20.4533701206848,4.43473181123814,17.1411666666667,8.26633333333333,25.4075,3.24583333333333,"3",12582,"1000_lakes",5.37583333333337
"621","191013_510_4","191013_510_C4",0.990102466635518,272.350870488323,6.13633333333333,4.0838539577526,28.095,0.768853712094379,8.51912254529527,8.51912254529527,2.637,25.458,28.095,2.637,"4",12157,"1000_lakes",21.9586666666667
"622","191013_510_4","191013_510_B4",0.992902055973245,272.350870488323,6.13633333333333,2.97803264404568,21.3505,0.0582614829198568,18.8534378995961,8.80991238863964,8.01216666666667,17.0403333333333,25.0525,3.702,"4",12157,"1000_lakes",15.2141666666667
"623","191013_510_4","191013_510_D4",0.989449924705416,272.350870488323,6.13633333333333,3.19757478688895,27.9936666666667,0.803002713203852,22.4736461534977,22.4736461534977,9.432,18.5616666666667,27.9936666666667,9.432,"4",12157,"1000_lakes",21.8573333333334
"624","191013_510_4","191013_510_A4",0.990241412576586,272.350870488323,6.13633333333333,2.4771146676945,21.9086666666667,0.0512725114625046,15.3141429220217,6.77752372849436,7.85966666666667,18.5111666666667,26.3708333333333,3.3975,"4",12157,"1000_lakes",15.7723333333334
"625","191013_510_5","191013_510_A5",0.994656687832202,272.350870488323,6.13633333333333,3.18838759470724,21.1478333333333,0.0469571645468162,14.3486875102613,6.53822921418383,5.62866666666667,18.0038333333333,23.6325,2.48466666666667,"5",12662,"1000_lakes",15.0115
"626","191013_510_5","191013_510_D5",0.992425229825869,272.350870488323,6.13633333333333,3.56016911209158,21.1986666666667,0.067698760444295,15.4925744773857,7.13259167060973,5.42583333333333,18.2066666666667,23.6325,2.43383333333333,"5",12662,"1000_lakes",15.0623333333334
"627","191013_510_5","191013_510_C5",0.993406375977484,272.350870488323,6.13633333333333,2.84485529125339,20.4378333333333,0.0379988872660577,17.2422418836323,7.03993450897666,7.50516666666667,15.9245,23.4296666666667,2.99183333333333,"5",12662,"1000_lakes",14.3015
"628","191013_510_5","191013_510_B5",0.993642391609646,272.350870488323,6.13633333333333,3.17341975933956,20.8941666666667,0.0377266757902269,16.239243197327,6.77510375802627,6.44016666666667,17.0403333333333,23.4805,2.58633333333333,"5",12662,"1000_lakes",14.7578333333334
"629","191013_510_6","191013_510_C6",0.996988398194982,272.350870488323,6.13633333333333,5.25934983684803,18.8658333333333,0.051981923571709,27.7251561268806,12.1256922013943,6.49116666666666,16.0766666666667,22.5678333333333,2.78916666666667,"6",12666,"1000_lakes",12.7295
"630","191013_510_6","191013_510_B6",0.997431091958851,272.350870488323,6.13633333333333,4.80072188860833,20.3871666666667,0.0242428081603986,27.1213760048314,11.757863636528,6.89666666666667,16.4316666666667,23.3283333333333,2.94116666666667,"6",12666,"1000_lakes",14.2508333333334
"631","191013_510_6","191013_510_A6",0.997831584338222,272.350870488323,6.13633333333333,4.85923737429266,18.663,0.0493043292078423,26.0014215922939,11.7035610654483,6.64333333333334,15.7216666666667,22.365,2.94133333333333,"6",12666,"1000_lakes",12.5266666666667
"632","191013_510_6","191013_510_D6",0.996964154817854,272.350870488323,6.13633333333333,4.96468760017928,20.1336666666667,0.0252615956408582,28.2816891403165,12.9941728815052,6.897,16.3808333333333,23.2778333333333,3.14416666666667,"6",12666,"1000_lakes",13.9973333333334
"633","191013_512_2","191013_512_A2",0.966056890485611,268.138363364446,6.3395,2.65447182788117,25.458,0.135075184099459,15.7105942341405,7.48448757920977,7.353,21.9591666666667,29.3121666666667,3.49883333333334,"2",12158,"1000_lakes",19.1185
"634","191013_512_2","191013_512_C2",0.978638330274518,268.138363358629,6.3395,2.38048446970995,22.9228333333333,0.0410070423960612,14.6624319300045,7.1361830193258,7.45433333333334,19.0686666666667,26.523,3.60016666666667,"2",12158,"1000_lakes",16.5833333333333
"635","191013_512_2","191013_512_B2",0.976637505287063,268.138363361544,6.3395,2.53697157801212,23.8861666666667,0.0633186325818842,15.185780710331,6.10087703698527,7.40333333333333,19.373,26.7763333333333,2.89016666666667,"2",12158,"1000_lakes",17.5466666666667
"636","191013_512_2","191013_512_D2",0.975693642783303,268.138363355728,6.3395,2.68471986351603,24.292,0.0729924586068236,14.221679053245,5.75035459984226,6.6935,20.1845,26.878,2.586,"2",12158,"1000_lakes",17.9525
"637","191013_512_3","191013_512_D3",0.977367025512221,268.138363344015,6.3395,1.96275921376966,21.5536666666667,0.0642086311001925,10.8462175196703,5.32109302420301,6.99816666666667,17.953,24.9511666666667,3.3975,"3",11819,"1000_lakes",15.2141666666667
"638","191013_512_3","191013_512_C3",0.96892329086522,268.138363346957,6.3395,1.77373451938132,21.9086666666667,0.064132833473876,10.5307485961019,5.06610375746469,7.45416666666667,18.308,25.7621666666667,3.60066666666667,"3",11819,"1000_lakes",15.5691666666667
"639","191013_512_3","191013_512_A3",0.975309052481515,268.138363352803,6.3395,1.96618679695144,21.7055,0.0621541814317972,9.91329065332356,4.85489267279771,6.33866666666666,18.6125,24.9511666666667,3.093,"3",11819,"1000_lakes",15.366
"640","191013_512_3","191013_512_B3",0.971996985818948,268.138363349873,6.3395,1.95809326616591,21.4521666666667,0.069013462999684,10.1355203924576,4.86324285831296,6.5415,18.0038333333333,24.5453333333333,3.09316666666667,"3",11819,"1000_lakes",15.1126666666667
"641","191013_512_4","191013_512_A4",0.985333260285067,268.138363341076,6.3395,2.41673629225719,23.3791666666667,0.0814106174774278,16.4874228572535,7.20250434914612,8.3165,18.663,26.9795,3.60033333333333,"4",12156,"1000_lakes",17.0396666666667
"642","191013_512_4","191013_512_B4",0.979323206405386,268.138363338122,6.3395,2.49149116184059,27.2328333333333,0.849261988728991,19.353511819587,19.353511819587,8.92483333333334,18.308,27.2328333333333,8.92483333333334,"4",12156,"1000_lakes",20.8933333333333
