Who,Survey,Sampling_date,Start_date,Sample_ID,sensor_plate_number,SDR_number,Sample_line,Comments
Eline,1000_lakes,191009,191013,11773,1551,124,3,nutrients 2uM
Eline,1000_lakes,191009,191013,12558,1551,124,4,nutrients 2uM
Eline,1000_lakes,191009,191013,11816,1551,124,5,nutrients 2uM
Eline,1000_lakes,191009,191013,11959,1551,124,6,nutrients 2uM
Eline,1000_lakes,191009,191015,12815,1428,124,2,nutrients 2uM
Eline,1000_lakes,191009,191015,13238,1428,124,3,nutrients 2uM
Eline,1000_lakes,191009,191015,12543,1428,124,4,nutrients 2uM
Eline,1000_lakes,191009,191015,12259,1428,124,5,nutrients 2uM
Eline,1000_lakes,191009,191015,11766,1428,124,6,nutrients 2uM
Eline,1000_lakes,191009,191015,12660,Red,512,2,nutrients 2uM
Eline,1000_lakes,191009,191015,12784,Red,512,3,nutrients 2uM
Eline,1000_lakes,191009,191015,12439,Red,512,4,nutrients 2uM
Eline,1000_lakes,191009,191015,11825,Red,512,5,nutrients 2uM
Eline,1000_lakes,191009,191015,11740,Red,512,6,nutrients 2uM
Eline,1000_lakes,191009,191015,11786,Black,510,2,nutrients 2uM
Eline,1000_lakes,191009,191015,12847,Black,510,3,nutrients 2uM
Eline,1000_lakes,191009,191015,11861,Black,510,4,nutrients 2uM
Eline,1000_lakes,191009,191015,11850,Black,510,5,nutrients 2uM
Eline,1000_lakes,191009,191015,11787,Black,510,6,nutrients 2uM
Eline,1000_lakes,191009,191017,12813,1920A,510,2,nutrients 2uM
Eline,1000_lakes,191009,191017,12280,1920A,510,3,nutrients 2uM
Eline,1000_lakes,191009,191017,12823,1920A,510,4,nutrients 2uM
Eline,1000_lakes,191009,191017,13195,1920A,510,5,nutrients 2uM
Eline,1000_lakes,191009,191017,12864,1920A,510,6,nutrients 2uM
Eline,1000_lakes,191009,191017,12820,1920B,512,2,nutrients 2uM
Eline,1000_lakes,191009,191017,12258,1920B,512,3,nutrients 2uM
Eline,1000_lakes,191009,191017,12812,1920B,512,4,nutrients 2uM
Eline,1000_lakes,191009,191017,13236,1920B,512,5,nutrients 2uM
Eline,1000_lakes,191009,191017,12821,1920B,512,6,nutrients 2uM
Eline,1000_lakes,191009,191017,11920,1551,124,2,nutrients 2uM
Eline,1000_lakes,191009,191017,11917,1551,124,3,nutrients 2uM
Eline,1000_lakes,191009,191017,11894,1551,124,4,nutrients 2uM
Eline,1000_lakes,191009,191017,12445,1551,124,5,nutrients 2uM
Eline,1000_lakes,191009,191017,12309,1551,124,6,nutrients 2uM
Eline,1000_lakes,191009,191018,12941,Black,512,2,nutrients 2uM
Eline,1000_lakes,191009,191018,11918,Black,512,3,nutrients 2uM
Eline,1000_lakes,191009,191018,12506,Black,512,4,nutrients 2uM
Eline,1000_lakes,191009,191018,11927,Black,512,5,nutrients 2uM
Eline,1000_lakes,191009,191018,13189,Black,512,6,nutrients 2uM
Eline,1000_lakes,191009,191018,11895,Red,510,2,nutrients 2uM
Eline,1000_lakes,191009,191018,12256,Red,510,3,nutrients 2uM
Eline,1000_lakes,191009,191018,13239,Red,510,4,nutrients 2uM
Eline,1000_lakes,191009,191018,12743,Red,510,5,nutrients 2uM
Eline,1000_lakes,191009,191018,12757,Red,510,6,nutrients 2uM
Eline,1000_lakes,191009,191018,12758,1428,124,2,nutrients 2uM
Eline,1000_lakes,191009,191018,12541,1428,124,3,nutrients 2uM
Eline,1000_lakes,191009,191018,11984,1428,124,4,nutrients 2uM
Eline,1000_lakes,191009,191018,12538,1428,124,5,nutrients 2uM
Eline,1000_lakes,191009,191018,12901,1428,124,6,nutrients 2uM
Eline,1000_lakes,191009,191018,12146,1941A,130,2,nutrients 2uM
Eline,1000_lakes,191009,191018,12782,1941A,130,3,nutrients 2uM
Eline,1000_lakes,191009,191018,12935,1941A,130,4,nutrients 2uM
Eline,1000_lakes,191009,191018,12909,1941A,130,5,nutrients 2uM
Eline,1000_lakes,191009,191018,11979,1941A,130,6,nutrients 2uM
Eline,1000_lakes,191009,191018,12785,1941B,133,2,nutrients 2uM
Eline,1000_lakes,191009,191018,13233,1941B,133,3,nutrients 2uM
Eline,1000_lakes,191009,191018,12903,1941B,133,4,nutrients 2uM
Eline,1000_lakes,191009,191018,12897,1941B,133,5,nutrients 2uM
Eline,1000_lakes,191009,191018,12192,1941B,133,6,nutrients 2uM
Camille,1000_lakes,191009,191021,12899,1941D,124,2,
Camille,1000_lakes,191009,191021,12905,1941D,124,3,
Camille,1000_lakes,191009,191021,12818,1941D,124,4,
Camille,1000_lakes,191009,191021,12437,1941D,124,5,
Camille,1000_lakes,191009,191021,13235,1941D,124,6,
Camille,1000_lakes,191009,191021,12761,1941C,130,2,
Camille,1000_lakes,191009,191021,12234,1941C,130,3,
Camille,1000_lakes,191009,191021,12937,1941C,130,4,
Camille,1000_lakes,191009,191021,12811,1941C,130,5,
Camille,1000_lakes,191009,191021,12932,1941C,130,6,
Camille,1000_lakes,191009,191021,12253,1551,133,2,
Camille,1000_lakes,191009,191021,12849,1551,133,3,
Camille,1000_lakes,191009,191021,12781,1551,133,4,
Camille,1000_lakes,191009,191021,11985,1551,133,5,
Camille,1000_lakes,191009,191021,13193,1551,133,6,
Camille,1000_lakes,191009,191021,13186,1910A,510,2,
Camille,1000_lakes,191016,191021,12089,1910A,510,3,
Camille,1000_lakes,191016,191021,12636,1910A,510,4,
Camille,1000_lakes,191016,191021,13187,1910A,510,5,
Camille,1000_lakes,191016,191021,12049,1910A,510,6,
Camille,1000_lakes,191016,191021,12603,1920B,512,2,
Camille,1000_lakes,191016,191021,12290,1920B,512,3,
Camille,1000_lakes,191016,191021,12622,1920B,512,4,
Camille,1000_lakes,191016,191021,12344,1920B,512,5,
Camille,1000_lakes,191016,191021,12584,1920B,512,6,
